sku,price,brand,style,brand style
106-8C-1050,$35.99 ,Acorn,Fave Gore,Acorn Fave Gore
105-4B-1047,$49.99 ,Acorn,Gala,Acorn Gala
102-6A-1060,$59.99 ,Acorn,Ilsa,Acorn Ilsa
114-1A-1126,$49.99 ,Acorn,Lyla,Acorn Lyla
56-2C-1189,$59.99 ,Acorn,Mikka,Acorn Mikka
107-5A-1105,$34.99 ,Acorn,New Spa Thong,Acorn New Spa Thong
106-6A-1080,$54.99 ,Acorn,Odin,Acorn Odin
56-2C-1204,$79.99 ,Acorn,Oh Ewe II,Acorn Oh Ewe II
105-8C-1081,$27.99 ,Acorn,Phoebe Scuff,Acorn Phoebe Scuff
105-8C-1077,$34.99 ,Acorn,Polar Moc,Acorn Polar Moc
111-5B-1152,$63.99 ,Acorn,RAGG TIME,Acorn RAGG TIME
16-5A-1365,$79.99 ,Acorn,Ragg Time Moc,Acorn Ragg Time Moc
16-5A-1359,$69.99 ,Acorn,Ragg Time Ruffle,Acorn Ragg Time Ruffle
137-9A-1167,$79.99 ,Acorn,Romeo II,Acorn Romeo II
105-8C-1082,$39.99 ,Acorn,Slipper Sock,Acorn Slipper Sock
106-9A-1073,$33.99 ,Acorn,Slipper Sock Unisex,Acorn Slipper Sock Unisex
106-9A-1070,$30.99 ,Acorn,Tex Moc,Acorn Tex Moc
02-3B-2404,$80.99 ,Acorn,Transit Moc,Acorn Transit Moc
130-3A-1158,$33.99 ,Acorn,Ultra,Acorn Ultra
02-3B-2411,$84.99 ,Acorn,Yukon,Acorn Yukon
132-9A-1077,$49.99 ,Adidas,6-3-1 CC,Adidas 6-3-1 CC
133-8C-1029,$49.99 ,Adidas,A Cub SS Structure,Adidas A Cub SS Structure
52-4C-1324,$49.99 ,Adidas,a3 Electrify,Adidas a3 Electrify
126-1C-1039,$11.99 ,Adidas,a3 Explode,Adidas a3 Explode
30-6B-1959,$29.99 ,Adidas,a3 Gigaride,Adidas a3 Gigaride
