sku,url,price,identifier,name
45-8b-1076,http://www.shoemetro.com/p-265053-adidas-d-king-low-pro-mens.aspx,39.99,,Adidas D King Low Pro - Mens
105-5c-1090,http://www.shoemetro.com/p-269315-adidas-culver-vulc-mid-mens.aspx,49.99,,Adidas Culver Vulc Mid - Mens
24-3b-1946,http://www.shoemetro.com/p-263452-adidas-d-king-mid-pro-mens.aspx,24.99,,Adidas D King Mid Pro - Mens
25-1a-1876,http://www.shoemetro.com/p-262782-adidas-d-king-low-lx-mens.aspx,24.99,,Adidas D King Low LX - Mens
23418,http://www.shoemetro.com/p-284216-adidas-duramo-3-tr-mens.aspx,39.99,,Adidas Duramo 3 TR - Mens
31-3b-2097,http://www.shoemetro.com/p-264528-adidas-excel-pro-lo-2k-mens.aspx,39.99,,Adidas Excel Pro Lo 2k - Mens
45-8b-1069,http://www.shoemetro.com/p-264539-adidas-excel-promo-lo-mens.aspx,39.99,,Adidas Excel Promo Lo - Mens
45-8b-1069,http://www.shoemetro.com/p-263316-adidas-excel-promo-lo-mens.aspx,24.99,,Adidas Excel Promo Lo - Mens
22-1a-2147,http://www.shoemetro.com/p-263294-adidas-excel-pro-md-2k-mens.aspx,24.99,,Adidas Excel Pro Md 2K - Mens
45-1a-1209,http://www.shoemetro.com/p-263306-adidas-excelsior-mid-mens.aspx,24.99,,Adidas Excelsior Mid - Mens
31-3b-2100,http://www.shoemetro.com/p-262925-adidas-excelsior-low-mens.aspx,24.99,,Adidas Excelsior Low - Mens
31-3b-2100,http://www.shoemetro.com/p-264523-adidas-excelsior-low-mens.aspx,39.99,,Adidas Excelsior Low - Mens
45-1a-1209,http://www.shoemetro.com/p-263242-adidas-excelsior-mid-mens.aspx,37.99,,Adidas Excelsior Mid - Mens Size - 15
49-9b-1395,http://www.shoemetro.com/p-269251-adidas-foro-low-mens.aspx,44.99,,Adidas Foro Low - Mens
22-6c-1695,http://www.shoemetro.com/p-268595-adidas-forum-lo-rs-mens.aspx,49.99,,Adidas Forum Lo RS - Mens
132-9a-1079,http://www.shoemetro.com/p-268253-adidas-forum-mid-nba-mens.aspx,49.99,,Adidas Forum Mid (NBA) - Mens
22-1a-2141,http://www.shoemetro.com/p-263320-adidas-flat-hi-promo-mens.aspx,24.99,,Adidas Flat Hi Promo - Mens
22-6c-1695,http://www.shoemetro.com/p-313661-adidas-forum-lo-rs-mens.aspx,49.99,,Adidas Forum Lo Rs - Mens
23507,http://www.shoemetro.com/p-284236-adidas-gateway-mens.aspx,62.99,,Adidas Gateway - Mens
31-3b-2098,http://www.shoemetro.com/p-263444-adidas-grid-copa-promo-mens.aspx,24.99,,Adidas Grid Copa Promo - Mens
106-7c-1127,http://www.shoemetro.com/p-269118-adidas-gil-zero-low-vegas-basketball-shoes-white-mens.aspx,49.99,,Adidas Gil Zero Low (Vegas) Basketball Shoes White Mens
31-3b-2098,http://www.shoemetro.com/p-264526-adidas-grid-copa-promo-mens.aspx,39.99,,Adidas Grid Copa Promo - Mens
23606,http://www.shoemetro.com/p-284109-adidas-hornet-mens.aspx,34.99,,Adidas Hornet  - Mens
32-2b-1813,http://www.shoemetro.com/p-263447-adidas-grid-iron-2-o-m-mens.aspx,24.99,,Adidas Grid Iron 2 O M - Mens
106-7c-1117,http://www.shoemetro.com/p-268262-adidas-jumpstar-allaround-mens.aspx,49.99,,Adidas Jumpstar Allaround - Mens
46-3b-1169,http://www.shoemetro.com/p-269337-adidas-lux-mid-mens.aspx,49.99,,Adidas Lux Mid - Mens
134-5b-1018,http://www.shoemetro.com/p-268390-adidas-lyte-speed-gcs-mens.aspx,49.99,,Adidas Lyte Speed GCS - Mens
106-11a-1102,http://www.shoemetro.com/p-269370-adidas-mad-clima-w-basketball-shoes-black-womens.aspx,49.99,,Adidas Mad Clima W Basketball Shoes Black Womens
105-5c-1088,http://www.shoemetro.com/p-269313-adidas-master-st-mens.aspx,49.99,,Adidas Master St - Mens
129-4c-1061,http://www.shoemetro.com/p-269291-adidas-master-st-ii-mens.aspx,49.99,,Adidas Master St II - Mens
45-3a-1316,http://www.shoemetro.com/p-263446-adidas-mayhem-hi-mens.aspx,24.99,,Adidas Mayhem Hi - Mens
45-4a-1184,http://www.shoemetro.com/p-264513-adidas-mayhem-mid-mens.aspx,39.99,,Adidas Mayhem Mid - Mens
45-4a-1184,http://www.shoemetro.com/p-263715-adidas-mayhem-mid-mens.aspx,24.99,,Adidas Mayhem Mid - Mens
45-3a-1316,http://www.shoemetro.com/p-264547-adidas-mayhem-hi-mens.aspx,39.99,,Adidas Mayhem Hi - Mens Size - 17
45-3a-1317,http://www.shoemetro.com/p-263463-adidas-mayhm-mid-o-pro-mens.aspx,24.99,,Adidas Mayhm Mid O Pro - Mens
45-4a-1184,http://www.shoemetro.com/p-264543-adidas-mayhem-mid-o-mens.aspx,39.99,,Adidas Mayhem Mid O - Mens
45-3a-1316,http://www.shoemetro.com/p-263572-adidas-mayhem-hi-d-pro-mens.aspx,39.99,,Adidas Mayhem Hi D Pro - Mens
45-4a-1184,http://www.shoemetro.com/p-263282-adidas-mayhem-mid-o-mens.aspx,24.99,,Adidas Mayhem Mid O - Mens
122-9c-1045,http://www.shoemetro.com/p-264625-adidas-meteor-2-sp-mens.aspx,24.99,,Adidas Meteor 2 Sp - Mens
45-3a-1317,http://www.shoemetro.com/p-264544-adidas-mayhm-mid-o-pro-mens.aspx,39.99,,Adidas Mayhm Mid O Pro - Mens
122-9c-1045,http://www.shoemetro.com/p-268217-adidas-meteor-07-track-running-shoes-silver-mens.aspx,49.99,,Adidas Meteor 07 Track Running Shoes Silver Mens
122-9c-1045,http://www.shoemetro.com/p-311632-adidas-meteor-mens.aspx,15.99,,Adidas Meteor - Mens
122-9c-1045,http://www.shoemetro.com/p-264525-adidas-meteor-2-sp-mens.aspx,39.99,,Adidas Meteor 2 Sp - Mens
106-7c-1142,http://www.shoemetro.com/p-268270-adidas-nova-mid-mens.aspx,49.99,,Adidas Nova Mid - Mens
45-4a-1185,http://www.shoemetro.com/p-263464-adidas-mayhm-mid-o-pro1-mens.aspx,24.99,,Adidas Mayhm Mid O Pro1 - Mens
132-2c-1037,http://www.shoemetro.com/p-269410-adidas-nza-shell-mid-sneakers-shoes-gray-mens.aspx,49.99,,Adidas NZA Shell MId Sneakers Shoes Gray Mens
30-3c-1675,http://www.shoemetro.com/p-268380-adidas-obliterator-ii-mens.aspx,49.99,,Adidas Obliterator II - Mens
45-4a-1185,http://www.shoemetro.com/p-265046-adidas-mayhm-mid-o-pro1-mens.aspx,39.99,,Adidas Mayhm Mid O Pro1 - Mens
132-2c-1037,http://www.shoemetro.com/p-268252-adidas-nza-shell-mid-mens.aspx,49.99,,Adidas NZA Shell Mid - Mens
139-6c-1027,http://www.shoemetro.com/p-265049-adidas-paydirt-d-pro-mens.aspx,39.99,,Adidas Paydirt D Pro - Mens
45-4a-1188,http://www.shoemetro.com/p-265042-adidas-phenom-4-low-mens.aspx,39.99,,Adidas Phenom 4 Low - Mens
44-2b-1532,http://www.shoemetro.com/p-264484-adidas-paydirt-mid-mens.aspx,47.99,,Adidas Paydirt Mid - Mens
27104,http://www.shoemetro.com/p-284748-adidas-nizza-lo-mens.aspx,44.99,,Adidas Nizza Lo - Mens
25-5c-1567,http://www.shoemetro.com/p-263977-adidas-phenom-v-cleats-baseball-shoes-black-mens.aspx,24.99,,Adidas Phenom V Cleats Baseball Shoes Black Mens
44-2b-1532,http://www.shoemetro.com/p-263474-adidas-paydirt-mid-mens.aspx,24.99,,Adidas Paydirt Mid - Mens
139-6c-1027,http://www.shoemetro.com/p-263460-adidas-paydirt-d-pro-mens.aspx,24.99,,Adidas Paydirt D Pro - Mens
32-1c-1708,http://www.shoemetro.com/p-268446-adidas-pilrahna-team-womens.aspx,49.99,,Adidas Pilrahna Team - Womens
45-4a-1188,http://www.shoemetro.com/p-263398-adidas-phenom-4-low-mens.aspx,24.99,,Adidas Phenom 4 Low - Mens
25-5c-1567,http://www.shoemetro.com/p-313675-adidas-phenom-v-mens.aspx,24.99,,Adidas Phenom V - Mens
22-4c-1887,http://www.shoemetro.com/p-262927-adidas-phenom-vi-pro-mens.aspx,24.99,,Adidas Phenom VI Pro - Mens
138-4a-1026,http://www.shoemetro.com/p-268692-adidas-pro-color-mid-d-mens.aspx,31.99,,Adidas Pro Color Mid D - Mens
25-1a-1890,http://www.shoemetro.com/p-262778-adidas-quickslant-5-d-mens.aspx,24.99,,Adidas Quickslant 5 D - Mens
45-5a-1248,http://www.shoemetro.com/p-263472-adidas-quick-slant-2-d-mens.aspx,24.99,,Adidas Quick Slant 2 D - Mens
45-5a-1248,http://www.shoemetro.com/p-265156-adidas-quick-slant-2-d-mens.aspx,39.99,,Adidas Quick Slant 2 D - Mens
25-1a-1887,http://www.shoemetro.com/p-262780-adidas-quickslant-5-lx-cleats-football-shoes-black-mens.aspx,24.99,,Adidas Quickslant 5 LX Cleats Football Shoes Black Mens Size - 14
131-5c-1062,http://www.shoemetro.com/p-269281-adidas-proshell-hi-wd-mens.aspx,49.99,,Adidas Proshell Hi WD - Mens
45-5a-1260,http://www.shoemetro.com/p-262922-adidas-scorch-3-d-mens.aspx,24.99,,Adidas Scorch 3 D - Mens
45-5a-1256,http://www.shoemetro.com/p-263249-adidas-scorch-3-mid-d-mens.aspx,24.99,,Adidas Scorch 3 Mid D - Mens
45-5a-1256,http://www.shoemetro.com/p-265157-adidas-scorch-3-mid-d-football-cleats-shoes-white-mens.aspx,39.99,,Adidas Scorch 3 Mid D Football Cleats Shoes White Mens
45-5a-1256,http://www.shoemetro.com/p-263064-adidas-scorch-3-mid-d-football-cleats-shoes-white-mens.aspx,24.99,,Adidas Scorch 3 Mid D Football Cleats Shoes White Mens
44-2b-1538,http://www.shoemetro.com/p-263442-adidas-scorch-m-trxpbx-mens.aspx,24.99,,Adidas Scorch M TRXPBX - Mens
45-5a-1260,http://www.shoemetro.com/p-264485-adidas-scorch-3-d-mens.aspx,39.99,,Adidas Scorch 3 D - Mens
45-5a-1260,http://www.shoemetro.com/p-264597-adidas-scorch-3-d-pro-mens.aspx,59.99,,Adidas Scorch 3 D Pro - Mens
45-5a-1256,http://www.shoemetro.com/p-265287-adidas-scorch-3-mid-d-cleats-baseball-shoes-white-mens.aspx,39.99,,Adidas Scorch 3 Mid D Cleats Baseball Shoes White Mens
45-5a-1260,http://www.shoemetro.com/p-263449-adidas-scorch-3-d-pro-mens.aspx,24.99,,Adidas Scorch 3 D Pro - Mens
44-2b-1538,http://www.shoemetro.com/p-264476-adidas-scorch-m-trxpbx-mens.aspx,39.99,,Adidas Scorch M TRXPBX - Mens
45-5a-1256,http://www.shoemetro.com/p-264599-adidas-scorch-3-mid-d-mens.aspx,34.99,,Adidas Scorch 3 Mid D - Mens
45-5a-1260,http://www.shoemetro.com/p-264520-adidas-scorch-3-d-pro-mens.aspx,39.99,,Adidas Scorch 3 D Pro - Mens
45-1a-1215,http://www.shoemetro.com/p-265271-adidas-scorch3-trx-pro-mens.aspx,37.99,,Adidas Scorch3 Trx Pro - Mens
45-1a-1215,http://www.shoemetro.com/p-263428-adidas-scorch3-trx-pro-mens.aspx,24.99,,Adidas Scorch3 Trx Pro - Mens
28-1a-1997,http://www.shoemetro.com/p-263179-adidas-scorch3m-trxpro-mens.aspx,24.99,,Adidas Scorch3M TRXPro - Mens
45-5a-1260,http://www.shoemetro.com/p-262923-adidas-scorch-3-d-football-cleats-shoes-white-mens.aspx,24.99,,Adidas Scorch 3 D Football Cleats Shoes White Mens
41-2b-1822,http://www.shoemetro.com/p-262916-adidas-scorch3-trx-mens.aspx,34.99,,Adidas Scorch3 TRX - Mens Size - 14
45-5a-1257,http://www.shoemetro.com/p-265153-adidas-scrch-3-m-d-pro-mens.aspx,39.99,,Adidas Scrch 3 M D Pro - Mens
41-2b-1822,http://www.shoemetro.com/p-313671-adidas-scorch3-trx-mens.aspx,39.99,,Adidas Scorch3 TRX - Mens
41-2b-1822,http://www.shoemetro.com/p-263097-adidas-scorch3-trx-mens.aspx,24.99,,Adidas Scorch3 TRX - Mens
23547,http://www.shoemetro.com/p-317369-adidas-snova-glide-2-mens.aspx,62.99,,Adidas Snova Glide 2 - Mens
17-5c-1933,http://www.shoemetro.com/p-263434-adidas-spinner-3-mens.aspx,24.99,,Adidas Spinner 3 - Mens
29-2a-1894,http://www.shoemetro.com/p-313728-adidas-stan-smith-2-le-mens.aspx,49.99,,Adidas Stan Smith 2 LE - Mens
29-2a-1894,http://www.shoemetro.com/p-268305-adidas-stan-smith-2-lea-mens.aspx,49.99,,Adidas Stan Smith 2 Lea - Mens
29-2a-1894,http://www.shoemetro.com/p-268300-adidas-stan-smith-2-mens.aspx,49.99,,Adidas Stan Smith 2 - Mens
29-2a-1894,http://www.shoemetro.com/p-269626-adidas-stan-smith-2-mens.aspx,31.99,,Adidas Stan Smith 2 - Mens
30-1c-2140,http://www.shoemetro.com/p-269279-adidas-stan-smith-1-graph-mens.aspx,44.99,,Adidas Stan Smith 1 Graph - Mens
22-4c-1886,http://www.shoemetro.com/p-262928-adidas-spinner-iii-mens.aspx,24.99,,Adidas Spinner III - Mens
30-1c-2140,http://www.shoemetro.com/p-268754-adidas-stan-smith-1-graph-mens.aspx,30.99,,Adidas Stan Smith 1 Graph - Mens
44048,http://www.shoemetro.com/p-196737-adidas-superstar-1-mens.aspx,31.99,,Adidas Superstar 1 - Mens
44048,http://www.shoemetro.com/p-268377-adidas-superstar-vulc-mens.aspx,49.99,,Adidas Superstar Vulc - Mens
44048,http://www.shoemetro.com/p-269167-adidas-superstar-1-mens.aspx,36.99,,Adidas Superstar 1 - Mens
44048,http://www.shoemetro.com/p-268310-adidas-superstar-1-mens.aspx,33.99,,Adidas Superstar 1 - Mens
30-1c-2140,http://www.shoemetro.com/p-269374-adidas-stan-smith-1-graph-mens.aspx,36.99,,Adidas Stan Smith 1 Graph - Mens
44048,http://www.shoemetro.com/p-269157-adidas-superstar-1-mens.aspx,41.99,,Adidas Superstar 1 - Mens
44048,http://www.shoemetro.com/p-268697-adidas-superstar-2-mens.aspx,30.99,,Adidas Superstar 2 - Mens
44048,http://www.shoemetro.com/p-268443-adidas-superstar-1-mens.aspx,28.99,,Adidas Superstar 1 - Mens
44048,http://www.shoemetro.com/p-268311-adidas-superstar-ii-mens.aspx,49.99,,Adidas Superstar II - Mens
44048,http://www.shoemetro.com/p-268513-adidas-superstar-ii-cb-mens.aspx,30.99,,Adidas Superstar II CB - Mens
44048,http://www.shoemetro.com/p-268506-adidas-superstar-ii-bsc-mens.aspx,31.99,,Adidas Superstar II BSC - Mens
44048,http://www.shoemetro.com/p-315709-adidas-superstar-2g-ultra-youth-kids-boys.aspx,34.99,,Adidas Superstar 2G Ultra - Youth Kids Boys
44048,http://www.shoemetro.com/p-268235-adidas-superstar-2-is-mens.aspx,44.99,,Adidas Superstar 2 IS - Mens
