category,phone_type,description_headers,tags,phone,company_name,address,short_description,description_paragraphs,gen_description,company_site_url
Vikarbureauer,Fax,,,"75 61 04 50,75 61 04 51",Proffice A/S,"J. Chr. Juliussens Vej 9, 3. sal., 8700 Horsens",Not specified,,,http://www.proffice.dk
Vikarbureauer,Mobil,,,"76 58 05 35,40 58 19 00",Håndværksarbejde Jes Krogh,"Slagballevej 35, Burgårde, 8740 Brædstrup",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"61 15 86 61,98 20 82 38",Ph Vikarservice,"Lærkevej 30, 9492 Blokhus",Not specified,,,Company site unknown
Vikarbureauer,,,,29 26 34 43,Credo Vikarservice,"Dyssevej 1, Mejlby, 8981 Spentrup",Not specified,,,Company site unknown
Vikarbureauer,,,,65 32 36 35,Green Force S.M.B.A,"Bøgeparken 67, 5550 Langeskov",Not specified,,,Company site unknown
Vikarbureauer,,,,,Capacent People A/S,"Tuborg Havnevej 18, 2. sal., 2900 Hellerup",Not specified,,,Company site unknown
Vikarbureauer,,,,,Jobgården,"Plantagevej 2, Fårup, 7300 Jelling",Not specified,,,Company site unknown
Vikarbureauer,,,,,Lebolg A/S,"Viengevej 100, 8240 Risskov",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"76 24 99 33,75 44 18 10",Carlo Bork,"Ertebjerg Bygade 3 C, Ertebjerg, 6470 Sydals",Not specified,,,Company site unknown
"Rekrutteringsfirmaer,Rengøringsselskaber,Vikarbureauer,Administration",Fax,,,"45 81 77 22,45 82 00 66",Stjerne-personale A/S,"Hovedgaden 30 B, 3460 Birkerød",Not specified,,,http://www.stjerne-personale.dk
Vikarbureauer,Mobil,,,"39 90 02 06,20 20 03 23",Castone ApS,"Strandvejen 256 E, 2920 Charlottenlund",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"33 14 30 04,33 14 36 68,33 14 36 68",Danvikar A/S,"Hyskenstræde 9, 1207 København K",Not specified,,,http://www.danvikar.dk
Vikarbureauer,Mobil,,,"42 26 61 12,42 24 65 40,42 26 61 12,42 37 54 33",VTS v/ Per Vartou,"Landø 4, 5683 Haarby",Not specified,,,Company site unknown
