sku,url
0 603 981 020,http://www.enter.ru/product/doityourself/akkumulyatorniy-shurupovert-bosch-ixo-iv-2080501000035
0 603 973 420,http://www.enter.ru/product/-/akkumulyatorniy-shurupovert-bosch-psr-144-2-2080501003005
0 603 100 520,http://www.enter.ru/product/doityourself/mnogofunktsionalniy-instrument-bosch-pmf-180-e-multi-2080501000196
0 603 3A9 320,http://www.enter.ru/product/doityourself/perforator-bosch-pbh-2100-re-2080501002862
0 603 977 020,http://www.enter.ru/product/-/shurupovert-bosch-psr-select-2080501003708
